NAME,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Michael Jordan,15,25,6,10,2,3,3,6,4,2,3,36
Michael Jordan,11,23,6,9,0,6,7,1,1,3,3,29
Michael Jordan,10,20,11,13,1,2,4,2,0,5,4,31
Michael Jordan,10,19,16,17,3,4,5,6,1,3,1,36
Michael Jordan,14,29,9,11,3,2,5,4,1,3,3,37
Michael Jordan,10,18,6,6,0,3,7,2,1,3,3,26
Michael Jordan,9,21,12,12,1,2,8,3,1,2,3,30
Michael Jordan,10,22,13,14,0,7,7,4,4,2,3,33
Michael Jordan,17,38,15,17,2,4,8,6,1,4,6,49
Michael Jordan,12,26,7,10,4,6,3,4,0,5,5,31
Michael Jordan,13,24,7,8,1,2,6,3,1,1,5,33
Michael Jordan,8,20,9,9,1,5,9,3,1,3,2,25
Michael Jordan,12,22,10,10,3,4,6,4,2,7,4,34
Michael Jordan,6,15,4,6,0,6,9,3,1,3,2,16
Michael Jordan,17,27,13,16,2,2,9,3,3,2,4,47
Michael Jordan,9,15,4,5,1,3,5,4,0,4,4,23
Michael Jordan,15,22,10,12,1,1,8,1,0,6,3,40
Michael Jordan,14,26,5,6,1,4,10,3,3,7,4,33
Michael Jordan,11,18,10,11,1,6,4,3,1,3,2,32
Michael Jordan,16,28,12,12,0,3,9,5,5,3,3,44
Michael Jordan,12,26,13,16,3,5,12,3,1,2,6,38
Michael Jordan,20,31,12,12,0,3,6,4,1,2,2,52
Michael Jordan,12,23,6,8,0,2,7,3,2,2,3,30
Michael Jordan,11,20,6,7,4,2,7,4,2,4,4,28
Michael Jordan,5,15,6,9,1,4,2,3,0,2,3,16
Michael Jordan,6,22,5,6,2,4,6,0,2,5,3,17
Michael Jordan,16,37,7,9,6,2,6,5,0,2,5,39
Michael Jordan,9,19,7,7,3,7,10,6,3,1,4,25
Michael Jordan,12,20,7,8,6,5,9,4,5,2,5,31
Michael Jordan,11,22,6,11,3,6,5,6,4,3,2,28
Michael Jordan,17,23,11,14,1,2,8,4,0,1,3,45
Michael Jordan,19,35,4,5,2,2,6,3,1,0,0,42
Michael Jordan,12,24,4,6,3,1,7,1,2,4,3,28
Michael Jordan,12,26,12,13,4,6,10,4,4,3,3,36
Michael Jordan,13,19,7,10,0,3,7,5,0,2,4,33
Michael Jordan,14,22,10,10,0,3,4,3,1,2,0,38
Michael Jordan,17,25,8,8,0,4,13,4,4,2,2,42
Michael Jordan,13,19,10,13,3,4,8,3,1,2,5,36
Michael Jordan,13,26,7,10,2,5,5,2,1,6,5,34
Michael Jordan,12,21,12,12,2,2,7,2,1,2,5,37
Michael Jordan,14,18,4,5,0,1,4,10,2,3,1,32
Michael Jordan,10,17,8,8,1,4,4,2,4,5,3,28
